gene	cc01-20covid1	cc01-20covid2	cc03-19covid	cc03-20covid1	cc03-20covid2	cc01-20mock1	cc01-20mock2	cc03-19mock1	cc03-20mock1	cc03-20mock2
HS3ST1	10.84	8.14	36.35	24.22	31.45	29.49	17.5	34.73	47.65	48.57
AOC1	0.76	0.61	5.36	1.45	1.85	1.4	1.4	3.24	0.19	0.25
WNT16	0.08	0	0.17	0.14	0.42	0.05	0.07	1.89	0	0.23
HECW1	0.8	0.96	0.14	0.29	0	0.22	0.02	0.4	0.12	0.03
MAD1L1	36.75	35.88	29.64	27.57	32.92	19.31	17.02	37.79	24.83	26.98
LASP1	88.81	86.65	77.43	85.58	82.22	52.72	39.83	82.7	45.89	48.4
SNX11	21.28	20.71	22.77	29.46	29.95	12.34	14.41	19.77	20.49	20.82
TMEM176A	0.29	0.22	4.02	0.07	0.21	5.64	5.04	0.79	0.75	0.89
M6PR	130.98	133.91	112.43	115.19	112.78	102.82	80.85	131.35	138.62	138.13
KLHL13	2.96	2.67	1.12	4.74	5.17	3.85	3.73	4.73	12.73	13.41
CYP26B1	0.3	0.14	0.83	1.52	2.13	0.68	0.22	0.69	0.16	0.32
ICA1	54.95	56.51	28	28.37	25.84	64.63	57.27	23.51	35.48	42.77
DBNDD1	40.5	38.75	22.59	23.28	21.74	17.07	14	31.11	19.66	17.97
ALS2	11.29	10.39	8.83	9.07	8.94	8.28	6.27	10.23	8.85	8.88
CASP10	26.5	24.08	13.48	15.56	14.42	17.78	18.68	11.38	16.25	14.8
CFLAR	290.14	283.96	175.37	143.38	142.92	119.93	114.91	92.71	112.37	106.83
TFPI	244.49	230.3	178.86	58.16	51.11	401.18	321.36	211.86	45.99	48.08
NDUFAF7	19.7	22.42	19.58	10.54	11.89	20.73	15.53	14.46	18.67	19.37
RBM5	41.07	49.03	76.79	42.27	48.32	95	102.37	39.96	101.29	103.27
MTMR7	0.19	0.34	0.45	0.41	0.22	0.23	0.2	0.46	0.47	0.27
SLC7A2	0.26	0.15	0.4	1.62	1.43	0.64	0.29	0.6	2.17	0.78
ARF5	150.98	151.02	124.58	177.88	184.43	116.47	134.93	149.17	212.04	212.4
SARM1	4.93	5.15	3.87	1.15	1.03	7.5	7.04	2.97	5.02	5.02
POLDIP2	172.78	168.57	113.23	117.49	115.79	88.38	88.29	159.31	132.32	123.38
PLXND1	9.33	8.95	13.5	2.56	2.01	20.71	21.28	14.45	4.21	4.61
AK2	185.7	174.74	163.17	176.22	176.48	157.84	147.3	204.49	250.35	236.75
CD38	9.46	8.83	9.48	3.51	3.39	1.03	2.35	1.43	1.06	0.92
FKBP4	54.08	59.37	66.89	84.09	85.75	58.43	55.95	84.58	83.44	90.83
KDM1A	68.43	71.78	58.85	88.57	94.87	56.4	46.87	73.58	93.62	91.8
RBM6	32.05	35.93	41.23	24.59	29.49	87.19	93.55	23.32	55	65.06
CAMKK1	2.83	3.5	3.11	1.95	1.29	6.84	7.44	3.04	2.02	3.82
RECQL	32.86	34.99	25.49	46.41	41.46	21.66	17.33	39.94	24.06	21.93
VPS50	21.72	21.89	16.04	23.08	20.88	10.52	15.39	15.45	17.39	20.55
HSPB6	1.28	1.02	9.77	0.74	0.25	13.55	16.35	64.16	22.96	25.27
ARHGAP33	0.26	0.26	0.67	0.57	0.88	1.12	0.49	0.52	1.44	3
NDUFAB1	219.5	222.86	139.63	197.48	185.53	118.26	122.75	236.39	198.38	190.37
PDK4	29.34	28.47	33.63	4.94	4.77	16.18	12.91	44.29	76.91	74.28
SLC22A16	0	0	0	0	0.02	0	0	0	0.26	0.23
ZMYND10	12.77	16.44	2.43	13.1	19.42	42.17	31.55	0.17	197.37	181.16
ABCB5	0	0	0.01	0	0	0	0	0	0	0
ARX	0	0.01	0.01	0	0	0.04	0	0	0.1	0.05
SLC25A13	21.82	21.28	24	26.65	29.88	14.4	13.57	35.43	21.09	21.49
ST7	54.79	49.12	28.72	29.83	31.38	43.36	35.65	28.43	30.79	29.9
CDC27	47.48	51.42	37.07	48.77	50.31	32.58	29.78	55.5	48.37	45
SLC4A1	0	0	0	0	0	0	0.03	0	0	0
CALCR	0	0	0	0	0	0.72	0.08	0	0	0
HCCS	51.51	49.67	36.51	58.4	59.13	23.13	29.64	56.73	44.71	43.47
DVL2	31.49	31.15	54.38	21.91	22.2	57.89	46.72	26.79	45.29	53.06
PRSS22	47.88	48.63	169.67	102.27	107.55	53.44	58.5	31.95	43.83	47.09
UPF1	32.98	34.78	40.23	37.43	40.99	34.96	30.39	29.41	52.37	52.82
SKAP2	27.02	24.96	26.3	20.16	21.4	20.95	15.3	25.93	14.24	16.61
SLC25A5	435.77	434.86	291.51	335.15	349.59	226.56	243.88	390.4	574.56	548.03
MCUB	27.98	30.39	17.24	27.12	24.17	15.17	13.19	21.68	5.62	7.63
HOXA11	0	0.02	0.03	0	0	0	0.15	0.02	0	0.16
POLR2J	58.03	60.18	49.25	49.12	51.66	43.57	40.43	55.91	51.49	44.39
DHX33	1.35	1.37	2.39	1.5	1.32	1.23	1.81	1.92	1.33	1.71
MEOX1	0.1	0	0.08	0.63	0.52	0.14	0.07	0	0.48	0.27
THSD7A	1.25	2.14	1.34	0.16	0.34	0.87	1.48	1.17	0.17	0.23
LIG3	19.58	19.41	12.79	15.69	18.44	11.99	9.5	15.87	14.31	13.89
RPAP3	34.64	34.74	22.51	31.55	30.7	22.29	20.26	34.18	34.56	35.64
ACSM3	11.38	14.34	5.74	1.25	1.71	17.23	11.34	11.27	5.94	3.68
REXO5	4.18	5.24	2.18	2.19	2.49	2.95	2.7	3.69	12.39	12.61
CIAPIN1	123.9	97.45	85.15	131.4	135.03	50.84	62.48	142.81	105.58	99.15
SPPL2B	24.86	35.59	55.71	33.01	35.93	34.31	43.52	31.49	56.7	66.1
FAM214B	15.79	15.22	19.75	39.76	39.19	10.6	12.83	23.64	15.96	14.43
COPZ2	8.86	8.69	9.44	15.53	19.47	26.77	24.51	32.55	18.78	19.96
PRKAR2B	1.11	1.25	4.83	2.82	4.58	7.21	6.31	8.07	4.33	3.98
MSL3	20.47	20.92	19.36	23.36	26.38	16.28	14.32	14.51	20.56	20.03
CREBBP	5.6	6.32	8	6.03	5.1	8.16	8.39	4.32	8.24	11.7
TSPOAP1	0.99	0.46	0.66	0.2	0.1	4.2	3.39	0.04	2.61	1.81
MPO	0	0	0	0	0	0	0.63	0	0.01	0
PON1	0.35	0.33	0.13	0.08	0	1.56	0.43	0.37	0.09	0
GCFC2	11.8	13.77	9.37	11.73	10.31	15.93	12.73	15.45	19.12	20.39
WDR54	19.58	20.09	10.62	23.7	25.11	48.27	33.2	17.8	69.1	69.57
CROT	18.06	17.72	28.36	40.2	45.33	24.33	33.17	39.79	115.69	107.19
ABCB4	0	0	0.02	0	0	0.16	0.19	0.16	0	0.32
KMT2E	43.52	47.6	69.2	41.04	41.62	100.64	87.55	33.17	85.85	85.63
RHBDD2	103.18	107.14	130.47	95	104.61	115.76	98.75	102.88	152.29	143.83
SOX8	0.06	0.11	0.04	0.01	0.04	0.08	0.12	0.06	0	0.01
IBTK	33.4	33.51	24.62	23.47	25.22	22.28	21.93	35.66	23.12	22.77
ZNF195	23.82	20.84	18.22	22.24	23.51	18.94	20.49	16.88	25.71	25.26
MYCBP2	3.38	3.73	5.33	3.76	2.98	6.92	10.08	4.69	8.62	9.55
FBXL3	27.35	24.4	22.65	22.44	26.17	27.64	27.07	25.84	37.41	35.06
ITGAL	0	0.12	0.19	0.36	0	0	0.22	0.25	0.51	0
PDK2	35.76	29.14	31.61	15.24	21.63	35.84	38.25	24.01	68.38	70.94
ITGA3	146.87	133.37	88.92	115.07	127.64	92.57	67.49	210.85	57.79	59.82
ZFX	17.01	15.37	12.07	10.16	12.31	14.68	14.62	11.02	12.94	12.37
LAMP2	178.5	162.7	179.37	204.81	213.71	199.83	184.96	242.45	260.22	240.95
ITGA2B	0.13	0.17	0.06	0	0	0.67	0.43	0.09	0.16	0.97
ASB4	0.09	0.02	0.09	0.08	0.08	1.59	1.32	0.03	0.5	0.67
GDE1	174.57	175.14	144.66	98.31	106.81	146.79	129.91	120.52	137.67	132.91
REX1BD	55.39	60.59	57.94	63.75	64.79	52.8	56.21	72.44	70.87	72.31
CRLF1	3.01	2.43	3.16	3.09	2.35	1.83	0.79	1.59	0.44	2.35
OSBPL7	27	30.24	26.69	17.12	19.11	12	12.23	11.24	4.47	6.37
TMEM98	124.19	116.74	41.39	110.6	92.98	64.06	50.87	66.71	84.47	79.11
YBX2	0	0.25	0.28	0.07	0.15	0.14	0.14	0.05	1.13	0.78
KRT33A	0	0.03	0.38	0.05	0.1	0	0.04	0.87	0.2	0.11
MAP3K14	1.92	1.91	2.32	1.99	2.24	4.08	2.71	1.85	3.91	5.86
ABCC8	0	0.57	0.04	0	0	0.97	0.43	0	0.23	0
CACNG3	0	0	0	0	0	0	0	0	0	0
TMEM132A	39.84	36.58	139.06	195.75	189.8	40.44	42.62	89.31	105.16	95.55
AP2B1	111.46	104.11	51.27	114.39	113.78	59.26	42.17	105.94	78.19	67.69
TAC1	0.19	0.11	0.06	0.09	0	0	0	0.16	0.05	0
ZNF263	23.26	24.14	31.97	22.46	22	26.69	25.99	28.48	40.52	41.19
CX3CL1	10.22	8.45	20.55	13.38	12.65	15.03	10.58	7.66	36.59	35.83
SPATA20	53.85	53.95	47.13	25.81	26.59	50.51	45.79	58.58	39.27	39.93
CACNA1G	0	0	0.09	0	0.03	0.03	0	0.03	0	0.03
TNFRSF12A	535.31	491.12	343.36	827.1	767.91	68.41	65.26	353.81	50	54.92
DLX6	0	0	0	0	0	0	0	0	0	0
MAP3K9	7.29	7.22	14.55	17.46	18.4	6.21	8.39	5.95	7.27	6.56
RALA	65.48	63.45	74.21	94.23	90.86	38.12	50.65	68	60.05	52.14
BAIAP2L1	65.75	64.83	99.05	83.56	85.54	53.34	47.98	52.76	61.13	56.61
KDM7A	2.21	1.26	5.16	3.44	3.28	3.13	3.41	2.74	5.25	5.6
ETV1	33.65	31.2	21.53	4.38	3.11	41.12	36.35	18.45	8.46	6.83
AGK	26.51	31.6	20.19	27.2	24.51	20.12	20.54	30.61	29.54	36.36
ALDH3B1	52.66	54.45	48.38	37.13	33.23	49.28	43.14	26.19	69.96	61.39
TTC22	13.31	15.19	27.75	23.11	27.05	15.44	25.14	21.45	36.8	38.1
PHTF2	8.91	9.82	14.84	5.85	9.01	13.23	10.59	12.28	13.72	10.89
CCL26	0.46	0.37	0.89	0.44	0.62	0.83	0.61	0.65	0.28	0.49
FARP2	22.25	28.98	29.98	30.33	38.98	24.91	23.56	29.34	43.83	38.06
USH1C	0	0.39	0.07	0.04	0	0.24	0.46	0.22	0.48	0.78
GGCT	59.61	58.44	28.79	55.32	58.32	22.44	26.65	76.76	64.95	63.22
DBF4	15.01	15.72	10.3	14.18	13.04	11.61	9.87	21.91	15.56	12.87
TBXA2R	0.66	0.25	0.78	0.31	0.61	0.51	0.5	1.37	0.29	0.65
IFRD1	56.14	56.95	60.44	47.9	45.01	60.28	71.61	44.72	64.52	68.54
LGALS14	0	0	0	0	0	0	0	0	0	0
COX10	15.83	16.91	14.62	14.5	16.68	13.99	13.22	21.78	23.38	21.37
GTF2IRD1	22.03	25.03	35.03	12.17	16.1	12.94	18.18	16.86	20.02	18.22
PAF1	54.36	52.67	38.8	47.19	47.54	33.29	30.91	50.39	45.19	45.03
VPS41	55.83	52.29	48.29	61.89	69.24	52.47	47.77	44.13	63.76	63.97
ARHGAP44	23	22.24	7.02	1.96	1.8	24.18	17.43	15.03	2.12	1.5
ELAC2	97.3	91.75	63.77	86.61	92.28	47.84	48.45	94.97	78.55	75.41
SCIN	38.95	39.44	32.69	18.81	22.99	58.96	41.48	23.92	61.93	60.31
ARSD	29.59	32.79	12.72	13.06	14.59	43.45	43.5	15.94	19.51	27.18
PNPLA4	37.06	37.92	19.52	18.42	20.87	35.58	36.7	35.09	33.34	31.17
MYH13	0	0	0	0	0	0	0	0	0.01	0
ADIPOR2	12.12	11.42	11.99	14.97	17	11.27	12.84	13.22	13.11	13.79
CDKL3	1.06	0.74	0.83	1.13	0.85	1.82	2.98	1.41	2.04	2.08
UPP2	0	0	0	0	0.02	0	0	0	0.04	0.04
PRSS21	1.08	0.85	0.94	0.27	0.6	1.99	2.07	2.09	3.03	2.31
MARK4	3.16	2.39	5.11	3.6	3.71	2.99	3.31	6.43	5.29	4.15
PROM1	3.42	2.9	2.93	2.16	3.19	4.9	4.04	0.58	9.36	11.01
CCDC124	88.37	93.92	76.34	114.25	110.21	48.32	52.07	83.33	66.26	68.79
CEACAM21	0	0	0	0	0	0.4	0	0	0	0
PAFAH1B1	84.05	87.3	67.56	122.83	122.01	44.55	45.86	76.75	53.94	58.31
NOS2	0.17	0.01	0.03	0.06	0.04	0.47	0.2	0	2.76	1.72
DNAH9	0.94	3.09	0.47	2.85	2.73	7.65	4.03	0.31	23.74	21.73
KIAA0100	44.49	46.74	36.71	48.52	51.01	32.98	27.7	48.86	49.52	51.15
SLC13A2	0.05	0.19	0.75	1.15	0.52	0.55	0.25	0	24.36	20.86
AC005747.1	0.74	0.29	0.56	1.22	0.68	0.4	1.44	0.97	3.47	4.23
TRAPPC6A	13.18	14.14	15.66	12.76	10.57	71.04	61.5	15.14	81.65	75.86
MATK	0.07	0	0.06	0	0	0	0	0	0	0
CEACAM7	2.98	3.41	170.22	4.65	4.37	24.02	136.79	7.78	55.73	52.81
CD79B	0	0	0	0.07	0	0	0	0	0.04	0.15
SCN4A	0	0	0.01	0	0	0	0	0	0	0
ST7L	18.02	17.08	14.33	14.51	17.08	17.2	19.61	17.76	23.86	25.21
TKTL1	0	0	0.07	0	0	0	0	0	0	0
PAX6	0	0	0	0	0	0	0	0	0	0.1
RPUSD1	44.67	41.77	35.59	37.55	39.73	15.12	16.87	47.06	31.61	34.9
RHBDF1	45.7	44.92	96.93	52.98	57.43	49.23	46.95	57.98	44.53	54.26
LUC7L	44.26	43.9	81.86	43.86	45.65	97.63	95.59	42.53	81.22	87.1
CACNA2D2	1.57	1.45	2.56	0.26	0.34	12.61	10.77	0.48	0.44	0.23
BAIAP3	3.12	2.71	4.71	2.89	2.36	4.32	3.82	2.07	15.9	14.53
TSR3	121.9	124.83	94.17	137.16	125.86	72.89	64.52	131.51	103.5	101.85
PIGQ	50.01	47.56	53.53	33.24	35.07	45.17	47.1	34.4	46.32	47.43
CRAMP1	2.83	3.52	5.15	4.61	6.36	5.26	4.16	2.71	4.75	6.41
TEAD3	10.24	10.15	19.26	15.08	12.91	11.86	12.46	10.28	14.2	14.45
SELE	0.43	0.86	8.17	0.02	0.22	0.16	0.16	0.42	0	0
DNAJC11	45.97	45.25	36.06	47.2	47.18	22.88	21.19	56.85	45.06	45.02
FMO3	1.3	1.71	0.71	1.11	1.01	1.38	1.23	0.57	6.74	6.28
MYLIP	5.33	5.47	10.6	3.98	4.83	18.36	16.45	5.25	19.96	19.6
NOX1	0.4	0.1	0.34	0.34	0.34	0.57	0.52	0.14	0.69	0.83
E2F2	0.85	1.32	0.81	0.99	1.86	0.21	0.88	1.47	4.72	4.23
PSMB1	373.58	395.18	263.81	338.14	332.84	221.91	225.58	363.39	303.63	287.98
SYN1	0.69	0.26	1.43	0.24	0.68	1.04	1.03	1.22	0.52	0.54
JARID2	4.84	3.44	6.83	9.59	10.21	6.29	5.21	6.44	8.56	8.29
CDKL5	2.78	2.59	2.62	2.33	1.55	2.95	4.05	1.41	2.38	1.73
CAMK1G	0.15	0.13	1.06	0.08	0.27	0.3	0.4	1.04	0	1.15
CDK11A	14.28	16.98	35.06	10.91	10.3	17.82	20.65	12.69	11.91	12.25
NADK	91.65	90.69	100.87	65.89	65.31	59.37	53.08	75.69	80.12	78.37
TFAP2B	0	0	0	0	0	0	0	0	0	0
TFAP2D	0	0	0	0	0	0	0	0	0	0
DLEC1	0.63	1.17	0.62	0.44	0.87	1.97	1.48	0.31	6.34	9.08
CYTH3	18.36	14.76	8.56	18.4	22.06	7	7.51	9.35	8.97	12.33
ADAM22	0.01	0.05	0.04	0.07	0.01	0.22	0.08	0.04	0.03	0.2
SYPL1	164.91	153.81	124.74	172.02	172.04	132	152.01	227.33	293.73	274.16
CYB561	97.43	93.82	76.78	93.97	97.32	65.87	66.22	57.29	102.33	105
SPAG9	35.49	31.64	44.38	30.52	29.2	26.58	19.77	27.1	20.67	24.02
CELSR3	0.06	0.12	0.29	0.02	0.2	0.84	0.77	0.11	0.45	0.29
AASS	8.23	9.66	5.03	3.71	3.97	24.37	22.77	4.08	4.39	4.81
PLEKHG6	8.96	8.17	21.54	23.76	26.82	14.76	17.04	7.72	33.77	33.55
SS18L2	52.21	50.23	33.38	43.14	33.79	40.33	39.67	40.54	41.37	39.02
MPND	13.5	15.33	9.67	13.75	10.67	9.48	10.49	10.11	13.11	12.82
MGST1	1843.71	1884.13	993.37	791.73	828.71	991.97	999.49	1181.94	757.8	729.12
CRY1	23.41	21.85	18.76	17.62	15.51	25.6	16.95	16.28	16.49	13.44
PGLYRP1	0	0	0	0	0	0.12	0.06	0	0	0.07
NFIX	27.06	26.36	17.16	15.84	11.12	26.09	20.2	19.73	28.07	31.19
ST3GAL1	40.65	35.84	36.06	35.77	36.89	53.49	48.6	57.93	32.93	27.58
MMP25	0.65	0.55	3.02	1	1.42	2.84	2.86	1.08	1.24	1.03
IL32	86.9	82.6	32.98	534.01	439.1	13.67	16.47	33.91	34.5	36.04
PKD1	9.79	6.93	15.68	7.57	9.23	20.53	23.83	12.07	19.63	24.97
MAPK8IP2	0.54	0.31	0.3	0.19	0.16	0.16	0.08	0.53	0.24	0.15
MED24	51.71	60.55	74.51	53.6	58.33	44.99	42.38	185.84	68.95	62.16
RHOBTB2	89.06	90.88	31.27	14.02	16.38	64.69	54.95	36.02	6.78	8.52
